eventTimestamp,userID,sessionID,platform,userCountry,realCurrencyAmount,realCurrencyAmount,realCurrencyType,,,,,,,,,,,,
2019-11-01,28489,ab7800db-bc6d-4da6-8008-8b2f6d038e4a,ANDROID,CA,1999,19.99,CAD,,,,,,,,,,,,
2019-11-01,102640,8cd42235-bd27-4539-b3b4-108cf1f5d6da,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,20057,e735011b-c323-4ed6-9b56-0dffb0ad7136,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,67504,a4aaae4c-1586-47ca-bdf4-53290443d147,ANDROID,NL,549,5.49,EUR,,,,,,,,,,,,
2019-11-01,20057,5e66e86d-5135-4357-ba4a-d32c4324795f,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,5e66e86d-5135-4357-ba4a-d32c4324795f,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,5e66e86d-5135-4357-ba4a-d32c4324795f,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,5e66e86d-5135-4357-ba4a-d32c4324795f,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,98767,27180fcd-021a-4089-bc3d-4109d8096aeb,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-01,102029,ab3f5bed-3964-4bbb-ba93-c12973e9aeda,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-01,86143,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
2019-11-01,102666,95079553-6abf-4fe1-8615-f1851d646d92,ANDROID,US,999,9.99,USD,,,,,,,,,,,,
2019-11-01,102666,95079553-6abf-4fe1-8615-f1851d646d92,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-01,102012,f169c770-22ca-429c-8b8a-2b8550397aca,ANDROID,CH,2000,20,CHF,,,,,,,,,,,,
2019-11-01,102666,95079553-6abf-4fe1-8615-f1851d646d92,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-01,101786,607a6482-a876-4eb0-9939-634d75513806,ANDROID,SE,5900,59,SEK,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,20057,b3d8acc1-0f19-43a9-8d62-0feda5da3dc6,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-01,25561,9d12c28c-9183-4458-8185-d5df5d323bf9,ANDROID,US,999,9.99,USD,,,,,,,,,,,,
2019-11-02,103030,6ec944a0-0a28-423b-88f1-c4ed38ad8e13,ANDROID,FR,549,5.49,EUR,,,,,,,,,,,,
2019-11-02,88122,4a9ab1a2-5a2a-4fcc-a6ff-5a0d1621c569,ANDROID,SE,5900,59,SEK,,,,,,,,,,,,
2019-11-02,99645,44d7ac26-6d08-4760-b6b7-b5f1c140c878,ANDROID,AU,799,7.99,AUD,,,,,,,,,,,,
2019-11-02,103094,5745e06b-0600-4f13-a503-17ea3f28a771,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,103094,5745e06b-0600-4f13-a503-17ea3f28a771,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-02,102629,f899d2c5-5006-4178-b594-7a5417517946,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,103094,5745e06b-0600-4f13-a503-17ea3f28a771,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,103094,9bee1fc6-8310-4b90-9d4e-edb38da4a786,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,101991,ab1b7a53-7f45-472f-a0d1-b01f1365ddd4,ANDROID,SE,5900,59,SEK,,,,,,,,,,,,
2019-11-02,101663,c9fd807f-3cf3-4c29-a247-4c9ad91735d0,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,101909,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
2019-11-02,20057,740822df-538c-4130-b110-7f6772d81b44,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,740822df-538c-4130-b110-7f6772d81b44,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,55f2e7c9-7610-4762-b4f5-5895da31cec0,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,102640,10c21164-6295-408f-a1c3-8c4e3f0cccf7,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,89043,d83a830b-5e5c-43b0-bead-c5b634740563,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,89043,d83a830b-5e5c-43b0-bead-c5b634740563,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-02,89043,d83a830b-5e5c-43b0-bead-c5b634740563,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,89043,d83a830b-5e5c-43b0-bead-c5b634740563,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,89043,d83a830b-5e5c-43b0-bead-c5b634740563,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,101945,,ANDROID,,1249,12.49,USD,,,,,,,,,,,,
2019-11-02,102318,d4423f56-e307-4588-8e4d-0476019af111,ANDROID,GB,489,4.89,GBP,,,,,,,,,,,,
2019-11-02,101960,,ANDROID,,1399,13.99,EUR,,,,,,,,,,,,
2019-11-02,103066,19d882b1-8abf-4098-a5a7-d691ce1a11e8,ANDROID,ES,549,5.49,EUR,,,,,,,,,,,,
2019-11-02,58820,21d2d900-e799-4413-9db6-8f58d1770f68,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-02,58820,21d2d900-e799-4413-9db6-8f58d1770f68,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-02,17188,,IOS,,40000,400,TWD,,,,,,,,,,,,
2019-11-02,103167,3ff0b31b-00d5-4613-86a0-446aec99159f,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,102666,e0260b77-7aff-4eee-b22f-f639eb5451c2,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-02,101941,,ANDROID,,10500,105,DKK,,,,,,,,,,,,
2019-11-02,101991,,ANDROID,,14900,149,SEK,,,,,,,,,,,,
2019-11-02,98804,251d1b9f-867d-4a45-9e69-3b309cc2e99a,ANDROID,US,999,9.99,USD,,,,,,,,,,,,
2019-11-02,20057,91662486-caae-485f-aba6-7fee5f7f3543,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,102441,9178675a-319c-41d2-9d0c-81ef2f67d2d4,ANDROID,BE,549,5.49,EUR,,,,,,,,,,,,
2019-11-02,99712,2824eee7-1f46-41a0-8975-a564f6158e95,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,90329,069c2f0a-83d6-4eda-84fd-ab1d816dbdcf,IOS,CA,1399,13.99,CAD,,,,,,,,,,,,
2019-11-02,41795,c09f3d7a-3a78-4021-9cd9-34b5aae65108,ANDROID,FR,549,5.49,EUR,,,,,,,,,,,,
2019-11-02,41795,c09f3d7a-3a78-4021-9cd9-34b5aae65108,ANDROID,FR,1599,15.99,EUR,,,,,,,,,,,,
2019-11-02,41795,c09f3d7a-3a78-4021-9cd9-34b5aae65108,ANDROID,FR,1599,15.99,EUR,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,20057,97f0db14-403f-4b07-aef4-d2b3c9408a09,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-02,29797,604419ec-d011-4759-ac05-025ddca5ff00,IOS,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,29797,604419ec-d011-4759-ac05-025ddca5ff00,IOS,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-02,29797,604419ec-d011-4759-ac05-025ddca5ff00,IOS,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,103473,e628c235-975c-4a0a-bf91-5e2d3445dc18,ANDROID,BE,549,5.49,EUR,,,,,,,,,,,,
2019-11-02,103513,2ea50ca5-b3e6-4eac-8661-ddee90dd92fe,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-02,99127,7153fe72-6f1b-4b02-aa37-316c09aba262,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,99645,bb3b340f-2bbb-4464-95e0-47229ecf1da8,ANDROID,AU,309,3.09,AUD,,,,,,,,,,,,
2019-11-03,103522,069621a8-67da-44ec-8d92-5e54310152e1,ANDROID,FR,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103522,069621a8-67da-44ec-8d92-5e54310152e1,ANDROID,FR,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103522,069621a8-67da-44ec-8d92-5e54310152e1,ANDROID,FR,1099,10.99,EUR,,,,,,,,,,,,
2019-11-03,103522,069621a8-67da-44ec-8d92-5e54310152e1,ANDROID,FR,2199,21.99,EUR,,,,,,,,,,,,
2019-11-03,102238,,ANDROID,,1399,13.99,EUR,,,,,,,,,,,,
2019-11-03,20057,e9633f0a-3d34-43a0-8223-4f87855a9383,IOS,US,0,0,NA,,,,,,,,,,,,
